config,max_depth,n_estimators,learning_rate,reg_lambda,min_child_weight,auc_train,auc_holdout,train_holdout_gap
cfg00_d2_n200_lr0.1_L1.0_mcw1.0,2,200,0.1,1.0,1.0,0.8851,0.8808,0.0043
cfg01_d3_n200_lr0.1_L1.0_mcw1.0,3,200,0.1,1.0,1.0,0.8993,0.8822,0.0172
cfg02_d4_n200_lr0.1_L1.0_mcw1.0,4,200,0.1,1.0,1.0,0.9174,0.8809,0.0365
