config,max_depth,n_estimators,learning_rate,reg_lambda,min_child_weight,auc_train,auc_holdout,train_holdout_gap
cfg00_d6_n200_lr0.1_L1.0_mcw1.0,6,200,0.1,1.0,1.0,0.9582,0.8759,0.0822
cfg01_d8_n200_lr0.1_L1.0_mcw1.0,8,200,0.1,1.0,1.0,0.9863,0.8673,0.1190
