config,max_depth,n_estimators,learning_rate,reg_lambda,min_child_weight,auc_train,auc_holdout,train_holdout_gap
cfg00_d3_n200_lr0.1_L1.0_mcw1.0,3,200,0.1,1.0,1.0,0.8967,0.8775,0.0192
cfg01_d4_n200_lr0.1_L1.0_mcw1.0,4,200,0.1,1.0,1.0,0.9185,0.8780,0.0405
cfg02_d6_n300_lr0.05_L3.0_mcw3.0,6,300,0.05,3.0,3.0,0.9590,0.8774,0.0815
cfg03_d8_n400_lr0.05_L1.0_mcw1.0,8,400,0.05,1.0,1.0,0.9952,0.8689,0.1264
