config,max_depth,n_estimators,learning_rate,reg_lambda,min_child_weight,auc_train,auc_holdout,train_holdout_gap
cfg00_d4_n200_lr0.1_L1.0_mcw1.0,4,200,0.1,1.0,1.0,0.8885,0.8467,0.0418
cfg01_d6_n200_lr0.1_L1.0_mcw1.0,6,200,0.1,1.0,1.0,0.9364,0.8393,0.0970
cfg02_d8_n200_lr0.1_L1.0_mcw1.0,8,200,0.1,1.0,1.0,0.9746,0.8239,0.1507
