sample,dr,K,mean_filled_slots,frac_saturated,n_muons,dz_cut
background,1.0,40,30.4788,0.4020,570694,15.0
background,1.0,50,33.6495,0.2543,570694,15.0
background,1.5,10,9.9543,0.9872,570694,15.0
background,1.5,20,19.5818,0.9375,570694,15.0
background,1.5,30,28.5692,0.8648,570694,15.0
background,1.5,40,36.7739,0.7833,570694,15.0
background,1.5,50,44.1239,0.6948,570694,15.0
background,2.0,10,9.9819,0.9948,570694,15.0
background,2.0,20,19.8171,0.9715,570694,15.0
background,2.0,30,29.3265,0.9326,570694,15.0
background,2.0,40,38.4020,0.8865,570694,15.0
background,2.0,50,47.0017,0.8386,570694,15.0
background,3.0,10,9.9948,0.9985,570694,15.0
background,3.0,20,19.9439,0.9907,570694,15.0
background,3.0,30,29.7732,0.9756,570694,15.0
background,3.0,40,39.4171,0.9546,570694,15.0
background,3.0,50,48.8396,0.9319,570694,15.0
background,5.0,10,9.9958,0.9988,570694,15.0
background,5.0,20,19.9549,0.9926,570694,15.0
background,5.0,30,29.8167,0.9803,570694,15.0
background,5.0,40,39.5270,0.9630,570694,15.0
background,5.0,50,49.0511,0.9439,570694,15.0
