config,max_depth,n_estimators,learning_rate,reg_lambda,min_child_weight,auc_train,auc_holdout,train_holdout_gap
cfg00_d3_n200_lr0.1_L1.0_mcw1.0,3,200,0.1,1.0,1.0,0.9103,0.8939,0.0165
cfg01_d2_n200_lr0.1_L1.0_mcw1.0,2,200,0.1,1.0,1.0,0.8955,0.8895,0.0060
cfg02_d2_n400_lr0.1_L1.0_mcw1.0,2,400,0.1,1.0,1.0,0.9051,0.8924,0.0126
cfg03_d2_n800_lr0.05_L1.0_mcw1.0,2,800,0.05,1.0,1.0,0.9050,0.8935,0.0115
cfg04_d2_n1500_lr0.03_L1.0_mcw1.0,2,1500,0.03,1.0,1.0,0.9071,0.8935,0.0136
cfg05_d2_n2000_lr0.03_L1.0_mcw1.0,2,2000,0.03,1.0,1.0,0.9120,0.8938,0.0182
